"Gene"	"CC02.17F1a"	"CC06.09F1a"	"CB21.03F1a"	"CC03.15F1a"	"CB05.15F1a"	"CC20.13F1a"	"CB07.01F1a"	"CB20.13F1a"
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_27"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_28"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_29"	0	0	2	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_30"	0	0	2	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_31"	0	0	4	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_32"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_33"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_34"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_35"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_36"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_37"	0	0	3	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_38"	0	0	2	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_39"	0	0	2	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_40"	0	0	2	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_41"	0	0	7	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_42"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_43"	0	1	4	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_44"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_45"	0	0	13	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_46"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_47"	0	5	38	0	0	0	3	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_48"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_49"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_50"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_51"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_52"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_53"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_54"	0	1	0	1	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_55"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_56"	0	1	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_57"	0	0	2	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_58"	0	1	2	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_59"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_60"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_61"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_62"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_63"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_64"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_65"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_66"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_67"	0	0	16	0	1	1	9	1
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_68"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_69"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_70"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_71"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_72"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_73"	0	0	0	0	0	1	3	1
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_74"	1	0	0	0	0	1	9	1
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_75"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_76"	0	0	1	0	0	3	12	1
"ERR4835994_bin.4_NODE_14_length_150191_cov_16.872649_77"	0	0	2	0	0	1	17	1
